ZIP Code,Household Median Income,Household Mean Income,Family Median Income,Family Mean Income,Married-couple Family Median Income,Married-couple Family Mean Income,Nonfamily Household Median Income,Nonfamily Household Mean Income
90744,50965.0,66504.0,54473.0,71021.0,62086.0,77560.0,24820.0,40039.0
90745,86981.0,104677.0,89570.0,110134.0,100603.0,,39352.0,58698.0
90746,87713.0,110887.0,101292.0,120070.0,119050.0,,48678.0,67570.0
90747,,,,,,,,
90755,86140.0,102832.0,101419.0,118240.0,126389.0,,59700.0,81157.0
90802,60939.0,77717.0,71192.0,89036.0,90988.0,,55726.0,71250.0
90803,92230.0,122208.0,129554.0,165620.0,144722.0,,75505.0,85851.0
90804,52122.0,67579.0,51304.0,67189.0,64974.0,,48092.0,63010.0
90805,53299.0,69985.0,55041.0,70657.0,69372.0,83446.0,40374.0,59431.0
90806,57037.0,79398.0,58313.0,85579.0,79653.0,,42717.0,54902.0
90807,77966.0,105590.0,95771.0,127189.0,117097.0,,52636.0,67880.0
90808,111163.0,134132.0,125801.0,147179.0,138707.0,,62073.0,87596.0
90810,60486.0,74758.0,62188.0,78375.0,74566.0,,29375.0,46650.0
90813,41175.0,53979.0,43599.0,55402.0,50856.0,,28817.0,44322.0
90814,81925.0,105033.0,110837.0,146002.0,132530.0,,62453.0,70925.0
90815,100034.0,126729.0,121533.0,148099.0,140642.0,,61357.0,77052.0
90822,,,,,,,,
90831,,,,,,,,
91001,104577.0,147447.0,118461.0,162643.0,138355.0,,65101.0,94748.0
91006,105011.0,145040.0,116637.0,156894.0,135682.0,,58455.0,77220.0
91007,84833.0,118685.0,101783.0,132265.0,116476.0,,48977.0,68106.0
91008,108846.0,293827.0,169000.0,413739.0,180417.0,,91667.0,90846.0
91010,83051.0,96370.0,97041.0,106893.0,108822.0,,41315.0,53240.0
91011,170571.0,258391.0,193776.0,279242.0,211795.0,,64219.0,126832.0
91016,82801.0,103244.0,92162.0,114979.0,105654.0,,49776.0,71218.0
91020,65506.0,85228.0,99040.0,110848.0,104767.0,,46736.0,52877.0
91024,106719.0,158259.0,150267.0,206995.0,174494.0,,71310.0,88250.0
91030,109927.0,167620.0,143519.0,202309.0,175986.0,,79382.0,92713.0
91040,92280.0,110860.0,108912.0,124755.0,120980.0,,47500.0,70979.0
91042,66453.0,84546.0,78233.0,95761.0,85431.0,,38457.0,55385.0
91046,,40947.0,,30860.0,,,,
91101,72144.0,92339.0,96374.0,120010.0,116169.0,,57931.0,75299.0
91103,71600.0,115436.0,79925.0,133531.0,108565.0,,35337.0,75218.0
91104,78285.0,110991.0,95034.0,127448.0,118277.0,,52634.0,73500.0
91105,137637.0,189980.0,177561.0,234825.0,186349.0,,83977.0,126909.0
91106,84782.0,120619.0,106516.0,153170.0,127939.0,,66578.0,85783.0
91107,100866.0,139883.0,128644.0,169116.0,145801.0,,66519.0,80904.0
91108,163654.0,228665.0,183403.0,244912.0,204856.0,,60758.0,109423.0
91201,59073.0,91494.0,73782.0,106862.0,81375.0,,39515.0,59192.0
91202,81665.0,112551.0,99295.0,129491.0,111505.0,,52488.0,81273.0
91203,61384.0,85141.0,68602.0,95497.0,70817.0,,48163.0,67240.0
91204,55847.0,76327.0,51706.0,71860.0,59952.0,,61375.0,80051.0
91205,47160.0,71879.0,52527.0,81597.0,59159.0,,32817.0,50581.0
91206,74893.0,104456.0,85530.0,112486.0,96616.0,,44655.0,84931.0
91207,85107.0,134534.0,109583.0,157687.0,134057.0,,54875.0,74200.0
91208,104866.0,151692.0,134397.0,182723.0,154777.0,,73977.0,75510.0
91210,138333.0,146747.0,139844.0,160404.0,139427.0,,,
91214,108583.0,132047.0,125538.0,147197.0,134826.0,,53872.0,68534.0
91301,130315.0,202650.0,157725.0,233664.0,168212.0,,72650.0,96022.0
91302,149724.0,240688.0,187529.0,279858.0,215319.0,,61860.0,97944.0
91303,62848.0,78055.0,67932.0,84628.0,80234.0,,41979.0,59709.0
91304,71039.0,101768.0,79607.0,114066.0,98065.0,,43352.0,64319.0
91306,73894.0,94998.0,79122.0,99171.0,87859.0,,42871.0,61679.0
91307,119452.0,152876.0,135453.0,165650.0,151500.0,,62215.0,97198.0
91311,96432.0,121182.0,103838.0,133096.0,117346.0,,64738.0,80466.0
91316,76088.0,113694.0,97774.0,140389.0,122244.0,,54000.0,69902.0
91320,125093.0,153090.0,144421.0,170391.0,159066.0,,59598.0,90580.0
91321,74986.0,100770.0,87400.0,106468.0,110317.0,,44744.0,72503.0
91324,83894.0,106124.0,97956.0,118041.0,126250.0,,60805.0,72006.0
91325,72041.0,102036.0,87792.0,115877.0,104466.0,,41971.0,70699.0
91326,120563.0,150946.0,135423.0,163836.0,145519.0,,50795.0,100755.0
91330,,,,,,,,
91331,64375.0,81509.0,69517.0,83850.0,78483.0,92809.0,26348.0,42539.0
91335,65740.0,88464.0,72041.0,93934.0,81197.0,103715.0,39243.0,61829.0
91340,64479.0,83239.0,70492.0,87859.0,73779.0,,31015.0,39603.0
91342,79572.0,92356.0,83725.0,97385.0,98212.0,110654.0,41075.0,54344.0
91343,67043.0,90329.0,75269.0,93343.0,86592.0,104055.0,39674.0,63970.0
91344,103329.0,126011.0,115599.0,139424.0,137564.0,,51546.0,77644.0
91345,80759.0,89391.0,91853.0,100887.0,96814.0,,35766.0,48086.0
91350,113028.0,129760.0,126468.0,136722.0,139847.0,,67589.0,89566.0
91351,85755.0,104190.0,93589.0,112807.0,111042.0,,54609.0,67772.0
91352,58696.0,79537.0,64563.0,84229.0,74760.0,96634.0,28478.0,54085.0
91354,130557.0,157798.0,139549.0,167203.0,154704.0,,81272.0,105176.0
91355,95640.0,114384.0,113125.0,134623.0,118403.0,,51786.0,70847.0
91356,80872.0,135952.0,108537.0,163206.0,134022.0,,48918.0,79924.0
91360,94149.0,119239.0,120025.0,141201.0,128758.0,,52609.0,71026.0
91361,119659.0,196554.0,161215.0,243060.0,191141.0,,66974.0,101240.0
91362,119967.0,161489.0,158341.0,196504.0,176071.0,,55025.0,84723.0
91364,110525.0,154972.0,128646.0,177305.0,159191.0,,77933.0,99657.0
91367,95212.0,127270.0,114737.0,149053.0,132515.0,,62279.0,86811.0
91371,,,,,,,,
91377,137047.0,169474.0,163750.0,203686.0,173682.0,,71616.0,92717.0
91381,134115.0,165015.0,152990.0,185009.0,165964.0,,65846.0,96301.0
91384,111990.0,129896.0,123734.0,139038.0,133164.0,,50441.0,70324.0
91387,94545.0,115723.0,102877.0,124432.0,117049.0,,56934.0,71560.0
91390,121902.0,140209.0,146111.0,153394.0,151815.0,,58854.0,81015.0
91401,57493.0,89863.0,68218.0,99496.0,82545.0,,44638.0,69627.0
91402,48933.0,65654.0,51190.0,67579.0,62040.0,,31883.0,46926.0
91403,101021.0,155202.0,135729.0,204885.0,169787.0,,71885.0,97311.0
91405,49232.0,68642.0,51075.0,70829.0,58510.0,81853.0,39636.0,57434.0
91406,61880.0,81267.0,71189.0,86913.0,84096.0,100839.0,46462.0,63324.0
91411,61914.0,80437.0,64799.0,84085.0,69395.0,,49109.0,71476.0
91423,90783.0,142969.0,139214.0,196050.0,158663.0,,67162.0,89322.0
91436,153304.0,252366.0,210025.0,296882.0,228938.0,,89719.0,117663.0
91501,73622.0,97883.0,94329.0,115742.0,100750.0,,45352.0,58844.0
91502,53580.0,71841.0,72292.0,88711.0,80399.0,,43482.0,57007.0
91504,86295.0,123326.0,100309.0,137936.0,116495.0,,53654.0,81873.0
91505,89021.0,117626.0,112535.0,142696.0,123925.0,,55536.0,79517.0
91506,85086.0,111681.0,110135.0,144969.0,130199.0,,48893.0,63524.0
91601,57411.0,77913.0,66511.0,98934.0,97686.0,,52535.0,63076.0
91602,81795.0,125359.0,112623.0,176948.0,125965.0,,61500.0,83385.0
91604,119586.0,173855.0,159862.0,233830.0,182944.0,,79485.0,109580.0
91605,53335.0,73962.0,60711.0,81810.0,69159.0,92930.0,31340.0,48174.0
91606,54649.0,73115.0,63688.0,83452.0,71936.0,,35217.0,50562.0
91607,76092.0,99419.0,92417.0,124811.0,108850.0,,52347.0,73518.0
91608,,,,,,,,
91701,100653.0,116194.0,111244.0,127126.0,120486.0,,46437.0,58138.0
91702,68058.0,85221.0,73254.0,87997.0,81160.0,98811.0,53659.0,61346.0
91706,68773.0,81406.0,69496.0,81617.0,74247.0,86717.0,31490.0,53132.0
91708,57198.0,69660.0,56341.0,68195.0,,,80664.0,75245.0
91709,104661.0,125494.0,113664.0,134364.0,126508.0,,61016.0,74690.0
91710,86702.0,100746.0,92731.0,106426.0,100797.0,,52533.0,65668.0
91711,100598.0,135984.0,132783.0,159177.0,143980.0,,51975.0,76065.0
91722,82441.0,93765.0,88860.0,100639.0,102695.0,,54869.0,61971.0
91723,70428.0,88212.0,78397.0,98683.0,102974.0,,41563.0,47555.0
91724,84679.0,107707.0,95017.0,114078.0,121488.0,,55583.0,74137.0
91730,74943.0,92853.0,81032.0,100311.0,95829.0,,53208.0,69532.0
91731,48723.0,62763.0,53832.0,65916.0,59245.0,,22837.0,39322.0
91732,56098.0,69994.0,57731.0,72244.0,67128.0,82503.0,24800.0,40514.0
91733,57500.0,71060.0,57666.0,72495.0,66204.0,78045.0,30640.0,40935.0
91737,103679.0,126912.0,113347.0,135664.0,129243.0,,56353.0,67243.0
91739,119397.0,148191.0,122356.0,154502.0,143036.0,,89226.0,103172.0
91740,89655.0,108343.0,98468.0,115114.0,107694.0,,53093.0,78791.0
91741,108750.0,143102.0,122125.0,161309.0,133085.0,,47179.0,72844.0
91744,74100.0,87402.0,75904.0,87154.0,84340.0,,37632.0,55433.0
91745,88702.0,113820.0,93793.0,119176.0,104155.0,,49559.0,68580.0
91746,77740.0,88302.0,80517.0,90072.0,91885.0,,30564.0,41405.0
91748,73948.0,95785.0,77626.0,101363.0,86536.0,,32404.0,54305.0
91750,93166.0,116552.0,115740.0,136691.0,131885.0,,36408.0,57123.0
91752,89255.0,110120.0,99269.0,112219.0,110235.0,,42341.0,81653.0
91754,66218.0,90055.0,76152.0,100101.0,89261.0,111694.0,43224.0,57199.0
91755,59285.0,84816.0,62853.0,87895.0,67177.0,,42283.0,60705.0
91759,97109.0,90927.0,109583.0,111872.0,110750.0,,43750.0,55612.0
91761,76207.0,89232.0,78202.0,91531.0,92046.0,104618.0,59925.0,69982.0
91762,64383.0,82236.0,70847.0,86301.0,80068.0,98657.0,44375.0,52268.0
91763,63529.0,74827.0,67675.0,76987.0,79127.0,,35155.0,54301.0
91764,60941.0,74965.0,59993.0,75171.0,74043.0,,47358.0,63407.0
91765,101161.0,124435.0,115018.0,137567.0,122255.0,,48155.0,62654.0
