Zipcode,Population,Per Capita Income,Poverty Count,Poverty Rate,Insurance coverage status,Coverage Rate
91006,31986.0,55265.0,2630.0,8.22234727693366,31985.0,99.99687363221409
91007,33367.0,50341.0,3061.0,9.173734528126593,32546.0,97.53948512002877
91008,744.0,95109.0,43.0,5.779569892473118,744.0,100.0
91010,26825.0,35863.0,2152.0,8.022367194780989,26404.0,98.43056849953402
91011,20389.0,99653.0,666.0,3.266467212712737,20370.0,99.90681249693462
91016,41822.0,43907.0,4028.0,9.631294533977332,41706.0,99.72263402037206
91020,7509.0,42508.0,1145.0,15.248368624317486,7362.0,98.04234918098282
91024,11151.0,80210.0,684.0,6.133979015334948,11137.0,99.87445072190835
91030,26583.0,71865.0,1262.0,4.747394951660836,26442.0,99.46958582552759
91040,20911.0,47351.0,1389.0,6.6424369948830755,20667.0,98.8331500167376
91042,27119.0,39648.0,2525.0,9.310815295549245,26914.0,99.24407242154946
91046,141.0,42196.0,0.0,0.0,141.0,100.0
91101,19737.0,62512.0,3747.0,18.984648122815017,19653.0,99.57440340477277
91103,27167.0,41941.0,5100.0,18.772775794162033,26414.0,97.22825486803843
91104,35918.0,48238.0,4306.0,11.988418063366558,35905.0,99.96380644802049
91105,12692.0,106607.0,682.0,5.373463599117555,12434.0,97.96722344784116
91106,23813.0,65968.0,3050.0,12.808130013018099,23758.0,99.76903372107672
91107,32581.0,64497.0,1866.0,5.72726435652681,32387.0,99.4045609404254
91108,12559.0,88176.0,1137.0,9.053268572338562,12559.0,100.0
91201,22163.0,38710.0,2863.0,12.917926273518928,22016.0,99.33673239182421
91202,22831.0,51558.0,2676.0,11.720905785992729,22728.0,99.54885900748981
91203,16679.0,42114.0,2998.0,17.97469872294502,16679.0,100.0
91204,18445.0,33135.0,2662.0,14.432095418812686,17987.0,97.51694226077528
91205,35755.0,32716.0,7036.0,19.678366662005313,35609.0,99.59166550132849
91206,32294.0,47890.0,4254.0,13.172725583699759,32050.0,99.24444169195516
91207,11091.0,57585.0,1044.0,9.413037598052474,11091.0,100.0
91208,15377.0,59569.0,1016.0,6.607270598946479,15358.0,99.87643883722443
91210,310.0,130200.0,35.0,11.290322580645162,310.0,100.0
91214,32344.0,53690.0,1306.0,4.037843185753154,32266.0,99.7588424437299
91301,25244.0,80016.0,1186.0,4.698146094121375,25131.0,99.55236887973379
91302,26318.0,103377.0,2397.0,9.107834941864883,26292.0,99.90120829850292
91303,30611.0,31343.0,5393.0,17.617849792558232,30562.0,99.83992682369083
91304,54369.0,39140.0,6703.0,12.328716731961228,53950.0,99.22934024903897
91306,49460.0,33242.0,9286.0,18.774767488879903,49352.0,99.78164173069146
91307,25368.0,58842.0,1582.0,6.236203090507726,25247.0,99.5230211289814
91311,40196.0,51418.0,2450.0,6.095133844163598,39824.0,99.07453477958006
91316,28497.0,58741.0,2438.0,8.555286521388217,28497.0,100.0
91320,44138.0,61596.0,3018.0,6.837645566178803,43995.0,99.6760161312248
91321,34305.0,38445.0,3324.0,9.689549628334062,34197.0,99.68517708788806
91324,29744.0,43959.0,3464.0,11.646046261430877,29651.0,99.68733189887035
91325,35537.0,43465.0,6010.0,16.911950924388666,35368.0,99.52443931676844
91326,36503.0,61038.0,2323.0,6.363860504616059,36473.0,99.91781497411172
91330,2699.0,6600.0,0.0,0.0,2699.0,100.0
91331,99804.0,22826.0,15997.0,16.028415694761733,99424.0,99.61925373732515
91335,77158.0,32249.0,9181.0,11.898960574405764,76256.0,98.83097021695741
91340,34822.0,25850.0,4051.0,11.633450117741658,34751.0,99.79610591005687
91342,92580.0,30152.0,12093.0,13.062216461438755,91834.0,99.19421041261612
91343,63193.0,31080.0,11219.0,17.75354865254063,62984.0,99.66926716566708
91344,53862.0,47089.0,3888.0,7.218447142698006,53378.0,99.10140730013738
91345,18481.0,32809.0,1434.0,7.759320383096153,18166.0,98.29554677777176
91350,42970.0,49239.0,2751.0,6.402141028624622,42815.0,99.63928322085175
91351,32677.0,38560.0,3093.0,9.465373198274015,32677.0,100.0
91352,45601.0,25239.0,6006.0,13.170763799039495,45398.0,99.55483432380869
91354,33039.0,58224.0,1634.0,4.945670268470596,33029.0,99.96973274009504
91355,30289.0,55327.0,2691.0,8.884413483442835,30216.0,99.75898841163459
91356,30599.0,66629.0,2823.0,9.225791692538971,30428.0,99.44115820778457
91360,42444.0,52011.0,3341.0,7.871548393176892,42229.0,99.49345019319574
91361,18753.0,89952.0,1145.0,6.105689756305658,18661.0,99.50941182744094
91362,36770.0,69130.0,3101.0,8.433505575197172,36701.0,99.81234702202883
91364,28765.0,62588.0,1942.0,6.751260212063271,28574.0,99.33599860942117
91367,44862.0,58146.0,5133.0,11.44175471445767,44849.0,99.97102224599884
91371,0.0,-666666666.0,0.0,,0.0,
91377,13627.0,75542.0,752.0,5.518456006457767,13613.0,99.89726278711382
91381,20864.0,60232.0,1023.0,4.9031825153374236,20864.0,100.0
91384,27652.0,39648.0,958.0,3.464487198032692,23478.0,84.90525097642123
91387,46812.0,41488.0,4798.0,10.249508672989831,46806.0,99.98718277364779
91390,18930.0,56370.0,998.0,5.272054939249868,18835.0,99.49815108293714
91401,39179.0,39785.0,6797.0,17.348579596212257,39158.0,99.94639985706628
91402,67937.0,23293.0,12967.0,19.086801006815136,67532.0,99.40385945802728
91403,25887.0,77866.0,1963.0,7.582956696411326,25887.0,100.0
91405,55451.0,27263.0,10898.0,19.65338767560549,55140.0,99.43914446989234
91406,53276.0,34383.0,8959.0,16.81620241759892,53211.0,99.87799384338163
91411,23689.0,41196.0,4063.0,17.151420490523027,23410.0,98.8222381696146
91423,31787.0,78605.0,2489.0,7.830245068738793,31673.0,99.64136282127915
91436,16190.0,99122.0,1045.0,6.454601605929586,16137.0,99.67263743051267
91501,18951.0,46990.0,2322.0,12.25265157511477,18945.0,99.96833940161468
91502,12312.0,37680.0,1631.0,13.247238466536713,12278.0,99.72384665367122
91504,27479.0,54957.0,3137.0,11.415990392663488,27424.0,99.79984715601005
91505,32156.0,55915.0,2836.0,8.819504913546462,32142.0,99.95646224654809
91506,19559.0,56411.0,1549.0,7.919627792831944,19274.0,98.54287028989212
91601,35615.0,50771.0,6086.0,17.088305489260144,35549.0,99.8146848238102
91602,19980.0,69510.0,1671.0,8.363363363363364,19980.0,100.0
91604,32073.0,92923.0,2160.0,6.734636610232906,31778.0,99.08022324073208
91605,51654.0,28257.0,9058.0,17.535912030046077,51347.0,99.40566074263367
91606,43552.0,30800.0,8041.0,18.462986774430565,43333.0,99.49715282880236
91607,30734.0,50616.0,3813.0,12.40645539142318,30382.0,98.85468861846815
91608,56.0,50243.0,0.0,0.0,56.0,100.0
91701,39323.0,45853.0,1877.0,4.773287897668031,39240.0,99.78892759962363
91702,62196.0,28797.0,7040.0,11.319055887838447,61902.0,99.52730079104765
91706,72495.0,24953.0,9849.0,13.585764535485206,72134.0,99.50203462307745
91708,15908.0,33205.0,1382.0,8.687452853909983,14909.0,93.72014080965552
91709,78341.0,46837.0,5598.0,7.1456836139441675,78198.0,99.81746467367023
91710,81466.0,34124.0,6564.0,8.057349078143028,77939.0,95.67058650234453
91711,37542.0,53771.0,1916.0,5.1036172819775185,37222.0,99.1476213307762
91722,34470.0,33427.0,2252.0,6.533217290397447,34397.0,99.78822164200754
91723,17964.0,37613.0,1784.0,9.930973057225563,17749.0,98.80316187931419
91724,28575.0,40291.0,2499.0,8.745406824146981,28533.0,99.85301837270342
91730,71040.0,36639.0,7241.0,10.1928490990991,70993.0,99.93384009009009
91731,28201.0,21981.0,4806.0,17.041948867061453,28020.0,99.35817878798625
91732,58888.0,23426.0,9564.0,16.240999864148893,58358.0,99.09998641488929
91733,42953.0,22238.0,8209.0,19.111587083556444,42764.0,99.55998416874257
91737,23108.0,52950.0,1932.0,8.360740868963129,23107.0,99.99567249437425
91739,41319.0,52167.0,1872.0,4.530603354389022,38742.0,93.7631598054164
91740,27131.0,38336.0,2302.0,8.484759131620656,26386.0,97.25406361726438
91741,26052.0,53786.0,1399.0,5.370029172424382,26002.0,99.80807615538154
91744,79380.0,25403.0,8103.0,10.207860922146637,79289.0,99.88536155202821
91745,55489.0,39220.0,5861.0,10.562453819675971,55422.0,99.87925534790679
91746,29429.0,26674.0,3457.0,11.746916307044073,29429.0,100.0
91748,43851.0,35523.0,4345.0,9.90855396684226,43786.0,99.85177076919568
91750,33436.0,48771.0,2689.0,8.042229931810025,33200.0,99.29417394425171
91752,37173.0,34365.0,2764.0,7.435504263847416,37102.0,99.80900115675355
91754,33937.0,39003.0,3988.0,11.75118602115685,33840.0,99.71417626779032
91755,26418.0,31814.0,3211.0,12.154591566356272,26193.0,99.14830797183738
91759,299.0,53322.0,5.0,1.6722408026755853,299.0,100.0
91761,61837.0,32234.0,5902.0,9.544447499070136,61757.0,99.8706276177693
91762,62990.0,28852.0,8231.0,13.06715351643118,62855.0,99.78568026670901
91763,37698.0,25329.0,5527.0,14.661255239004722,37398.0,99.20420181441986
91764,55311.0,26285.0,8681.0,15.694888900941946,55050.0,99.52812279655042
91765,45303.0,46501.0,4375.0,9.657197095115114,45233.0,99.84548484647816
91766,69517.0,25466.0,9900.0,14.241120876907807,69202.0,99.54687342664384
91767,50715.0,28313.0,7435.0,14.66035689638174,50246.0,99.0752242926156
91768,35443.0,22441.0,4802.0,13.548514516265554,34626.0,97.69489038738256
91770,59410.0,26015.0,6892.0,11.600740616057903,58899.0,99.13987544184481
91773,34066.0,46643.0,3147.0,9.237949862032526,33844.0,99.34832384195386
91775,24169.0,49317.0,2785.0,11.523025363068394,23928.0,99.00285489676858
91776,37340.0,30166.0,4998.0,13.385109801821104,36897.0,98.81360471344402
91780,35556.0,40349.0,3494.0,9.82675216559793,35393.0,99.54156823039712
91784,26116.0,59313.0,1621.0,6.206922959105529,26075.0,99.84300811762904
91786,56025.0,35353.0,6838.0,12.205265506470326,55583.0,99.21106648817492
91789,41377.0,48176.0,2986.0,7.216569591802209,41328.0,99.88157672136694
91790,44855.0,35544.0,3933.0,8.768253260506075,44403.0,98.99230854977148
91791,33902.0,40177.0,2816.0,8.306294613887086,33891.0,99.9675535366645
91792,31208.0,34343.0,3712.0,11.894386054857728,31167.0,99.86862342988977
91801,53320.0,39890.0,5715.0,10.718304576144035,52794.0,99.01350337584397
91803,29006.0,35635.0,4509.0,15.545059642832518,28939.0,99.76901330759154
91901,18669.0,48764.0,1622.0,8.688199689324549,18628.0,99.78038459478279
91902,17121.0,58029.0,888.0,5.186612931487646,16952.0,99.01290812452544
91905,1411.0,35589.0,222.0,15.733522324592487,1313.0,93.0545712260808
91906,4281.0,27252.0,1103.0,25.765008175659894,4035.0,94.25367904695165
91910,76313.0,36706.0,8299.0,10.874949222281918,74629.0,97.79329865160588
91911,87799.0,30345.0,9752.0,11.107188008975045,86971.0,99.05693686716249
91913,56102.0,43092.0,3057.0,5.44900360058465,54819.0,97.71309400734377
91914,17373.0,47266.0,586.0,3.373050135267369,17148.0,98.70488689345537
91915,35608.0,41352.0,2272.0,6.380588631768142,33626.0,94.43383509323748
91916,1833.0,51826.0,24.0,1.309328968903437,1810.0,98.74522640480087
