ZIP Code,Population Under 18 years,Total Population,Percent Population Under 18 years,Female Population Under 18 years,Male Population Under 18 years,Population Density per sq mile
91350,12160,42970,28.3,5952,6208,2433.5686373377034
91351,7827,32677,24.0,3457,4370,3539.7190881878887
91352,9628,45601,21.1,5064,4564,3923.535930440713
91354,8574,33039,26.0,4492,4082,4509.212501706019
91355,5668,30289,18.7,2630,3038,2232.8569256499923
91356,5851,30599,19.1,2755,3096,4186.553934269739
91360,7860,42444,18.5,3538,4322,2776.996680335872
91361,3432,18753,18.3,1421,2011,691.2044895555479
91362,7123,36770,19.4,3216,3907,1952.972773711096
91364,6567,28765,22.8,3306,3261,3766.4146438519697
91367,8049,44862,17.9,3671,4378,6020.301856551356
91371,0,0,,0,0,0.0
91377,3423,13627,25.1,1605,1818,2592.5857275254866
91381,5578,20864,26.7,3350,2228,497.63512659028254
91384,6449,27652,23.3,3121,3328,278.3081244389533
91387,12666,46812,27.1,5883,6783,770.2027292637727
91390,4368,18930,23.1,2377,1991,120.74700867673472
91401,7474,39179,19.1,3531,3943,11417.066968070076
91402,16688,67937,24.6,7788,8900,18975.30864197531
91403,4306,25887,16.6,1719,2587,7202.955115695567
91405,12361,55451,22.3,6146,6215,16721.8952324897
91406,12035,53276,22.6,5953,6082,6738.925424990694
91411,4664,23689,19.7,2186,2478,12752.561475409835
91423,4991,31787,15.7,2405,2586,8116.198916789758
91436,3479,16190,21.5,1644,1835,3205.707718827811
91501,3256,18951,17.2,1420,1836,7133.064516129031
91502,2067,12312,16.8,1059,1008,8352.94117647059
91504,5789,27479,21.1,2682,3107,3001.2874155133572
91505,6350,32156,19.7,3273,3077,5816.025401568921
91506,3387,19559,17.3,1553,1834,7372.678497730087
91601,4630,35615,13.0,2229,2401,13390.97459233978
91602,2432,19980,12.2,1072,1360,9970.098039215683
91604,5480,32073,17.1,2792,2688,7175.912254798566
91605,10529,51654,20.4,5109,5420,9747.672253258845
91606,8277,43552,19.0,3811,4466,13518.474016221087
91607,5192,30734,16.9,2737,2455,12581.678151601134
91608,0,56,0.0,0,0,30.456852791878173
91701,7922,39323,20.1,3656,4266,5405.032467532467
91702,12966,62196,20.8,6292,6674,945.1347029154878
91706,15377,72495,21.2,7647,7730,5660.088691796009
91708,4704,15908,29.6,2343,2361,604.4092147634382
91709,17346,78341,22.1,7731,9615,1847.636899183291
91710,17768,81466,21.8,8428,9340,4110.157172708276
91711,6245,37542,16.6,3222,3023,2424.812533476165
91722,7118,34470,20.6,3303,3815,8472.969696969696
91723,3651,17964,20.3,1752,1899,7571.367338191169
91724,5889,28575,20.6,2731,3158,4411.481719050674
91730,16581,71040,23.3,8538,8043,5451.453128414306
91731,6486,28201,23.0,2946,3540,7987.615283267457
91732,13197,58888,22.4,6696,6501,13452.643171806169
91733,9696,42953,22.6,4493,5203,6655.995257151327
91737,5043,23108,21.8,2179,2864,2384.9355797819626
91739,10068,41319,24.4,4321,5747,1384.666807402716
91740,6196,27131,22.8,3408,2788,5210.421241764823
91741,5693,26052,21.9,2816,2877,1279.935195640434
91744,17843,79380,22.5,8220,9623,9594.5697192821
91745,10417,55489,18.8,5499,4918,4277.528957528958
91746,6037,29429,20.5,3101,2936,5143.0538819073845
91748,7960,43851,18.2,3801,4159,3289.6444695259593
91750,6574,33436,19.7,3169,3405,1859.416302530075
91752,8960,37173,24.1,4756,4204,2392.7197984352206
91754,5908,33937,17.4,3017,2891,7376.769911504425
91755,4479,26418,17.0,2170,2309,8652.063492063493
91759,36,299,12.0,15,21,4.252947377349117
91761,14878,61837,24.1,7893,6985,2134.8799663063314
91762,16006,62990,25.4,7942,8064,4462.555066079295
91763,9570,37698,25.4,5068,4502,7463.584905660377
91764,13782,55311,24.9,7022,6760,7242.316934361957
91765,8805,45303,19.4,4474,4331,2490.7367514002585
91766,17123,69517,24.6,8697,8426,7049.81184392949
91767,12372,50715,24.4,6344,6028,8881.79419525066
91768,7804,35443,22.0,4187,3617,4345.609756097561
91770,11041,59410,18.6,4985,6056,9683.782955242184
91773,6833,34066,20.1,3513,3320,2250.4674145299145
91775,4697,24169,19.4,2168,2529,7911.261697321716
91776,6580,37340,17.6,2899,3681,11575.875486381325
91780,7577,35556,21.3,3878,3699,9064.759427828349
91784,5062,26116,19.4,2762,2300,2877.0240700218815
91786,12589,56025,22.5,6437,6152,6056.69238510567
91789,7779,41377,18.8,4124,3655,2743.4927837650466
91790,9802,44855,21.9,4683,5119,7748.610145934676
91791,6011,33902,17.7,2852,3159,5015.657934357121
91792,5781,31208,18.5,2948,2833,7757.938573659552
91801,8984,53320,16.8,4655,4329,12525.670675300647
91803,5619,29006,19.4,2739,2880,9230.981595092026
91901,3982,18669,21.3,2136,1846,229.80712432904437
91902,2860,17121,16.7,1428,1432,1583.3110457341534
91905,101,1411,7.2,54,47,19.921748806489823
91906,1370,4281,32.0,549,821,41.15269389890152
91910,16142,76313,21.2,8175,7967,5897.5927544291735
91911,21272,87799,24.2,10800,10472,6960.480829666876
91913,15361,56102,27.4,8099,7262,5612.796833773087
91914,4256,17373,24.5,1843,2413,2541.992775436484
91915,10966,35608,30.8,5110,5856,4397.852244792341
91916,338,1833,18.4,154,184,28.674819469798543
91917,351,851,41.2,226,125,20.21799942124047
91931,241,749,32.2,172,69,64.59475929311395
91932,5846,26157,22.3,2807,3039,6154.547580079495
91934,118,1251,9.4,37,81,15.252195538975672
91935,1869,9320,20.1,908,961,87.87562802161342
91941,6738,33602,20.1,3127,3611,4028.456767603064
91942,8475,40995,20.7,4185,4290,7056.152512998267
91945,6018,27541,21.9,2918,3100,6810.776625347838
91948,0,104,0.0,0,0,3.2965457933209117
91950,13018,57844,22.5,6416,6602,8557.039661987188
91962,417,2528,16.5,202,215,45.20660030001363
91963,156,624,25.0,79,77,11.6129657914515
91977,16264,65497,24.8,8064,8200,6379.007864488809
91978,2542,11006,23.1,1396,1146,917.001675041876
91980,17,103,16.5,0,17,0.0
92003,767,4404,17.4,381,386,341.1694192860948
92004,344,3200,10.8,168,176,2.4964940872220818
92007,3071,11939,25.7,1023,2048,5176.394293125811
92008,4453,27373,16.3,2023,2430,2607.34544755312
92009,12293,46334,26.5,6025,6268,3844.809191629052
92010,3682,16566,22.2,1529,2153,1891.3676042677016
92011,5682,24472,23.2,2730,2952,3800.367140890317
92014,2029,12532,16.2,748,1281,2082.9500396510707
92019,10482,45937,22.8,4877,5605,1399.168006050865
92020,14033,59775,23.5,7283,6750,5199.352284994602
92021,17270,69638,24.8,8576,8694,2538.7139341631296
92024,9894,50222,19.7,5159,4735,2829.070735090153
92025,12109,50270,24.1,6237,5872,2336.5663969963794
92026,11254,53053,21.2,4645,6609,1399.439791447113
92027,13069,55750,23.4,6554,6515,959.0407079052776
92028,12453,51135,24.4,6004,6449,417.5355328427131
92029,3898,19986,19.5,1987,1911,858.2003546099291
92036,281,3075,9.1,124,157,5.193254915646787
92037,6225,37665,16.5,2585,3640,3176.2410758758097
92040,10332,45906,22.5,5739,4593,675.5163997857015
92054,6901,37050,18.6,3325,3576,5449.665327978581
92055,0,10618,0.0,0,0,98.41252733039757
92056,11634,54190,21.5,5597,6037,4315.866439190836
92057,13080,58022,22.5,6634,6446,3955.4931836407377
92058,12414,48272,25.7,6314,6100,1062.251446131598
92059,477,1456,32.8,327,150,57.27975607100076
92060,0,506,0.0,0,0,6.636075857462318
92061,186,1677,11.1,120,66,65.29357692749628
92064,10841,48783,22.2,5138,5703,1175.5202305312137
92065,8103,36836,22.0,3546,4557,215.29504160048185
92066,42,319,13.2,27,15,15.866539734348793
92067,2250,9186,24.5,1415,835,400.4822935738847
92069,11473,46648,24.6,5492,5981,2601.1260285838025
92070,120,761,15.8,39,81,6.892554958853302
92071,13657,59795,22.8,6152,7505,3035.015120165526
92075,2372,12072,19.6,1233,1139,3712.990052662375
92078,13566,53019,25.6,6200,7366,3162.2754491017968
92081,6494,29475,22.0,3327,3167,3408.0627099664057
92082,4830,20678,23.4,2422,2408,156.17841689997456
92083,9225,37864,24.4,4677,4548,7079.3078586878155
92084,12046,49971,24.1,5346,6700,1774.9629525086443
92086,163,1409,11.6,111,52,5.687824711994579
92091,211,1288,16.4,109,102,1016.2790697674418
92092,0,521,0.0,0,0,
92093,0,2044,0.0,0,0,
92096,0,0,,0,0,
92101,2090,46025,4.5,966,1124,7879.45765230312
92102,8476,40051,21.2,4201,4275,9443.999109329772
92103,2979,34296,8.7,1502,1477,9293.351424694709
92104,6694,46613,14.4,3484,3210,12341.27198917456
92105,17282,72688,23.8,8380,8902,13201.876302988188
92106,3796,20483,18.5,2078,1718,3635.593220338983
92107,4158,29435,14.1,2142,2016,10471.891534391534
92108,2842,24201,11.7,1189,1653,4767.014519056261
92109,4528,44009,10.3,2118,2410,6147.5883821789985
92110,4526,30773,14.7,2225,2301,6000.99860195726
92111,8256,47710,17.3,4385,3871,5882.061563863664
92113,14147,50983,27.7,6889,7258,12908.667701174903
92114,14051,66487,21.1,6214,7837,8428.81274131274
92115,10454,61456,17.0,5116,5338,10334.738207164855
92116,3581,31836,11.2,1745,1836,9574.260355029586
92117,9556,54499,17.5,4277,5279,6739.170401011146
92118,3259,17602,18.5,1596,1663,3046.29388816645
92119,5004,24419,20.5,2616,2388,3795.125666412795
92120,6267,30241,20.7,2978,3289,3875.016273922666
92121,613,4150,14.8,336,277,372.27849110774383
92122,6054,45988,13.2,2734,3320,8895.872071402007
92123,5933,32951,18.0,2637,3296,3960.399489025665
92124,8543,31121,27.5,4352,4191,3347.710547833197
92126,15401,78111,19.7,7586,7815,7186.00034524426
92127,14428,51107,28.2,7039,7389,2209.226426744289
92128,9413,49273,19.1,4499,4914,4461.387322740475
92129,12267,52495,23.4,6155,6112,4326.505655762764
92130,15484,57363,27.0,7608,7876,3056.507218271924
92131,9365,35227,26.6,4472,4893,903.7083042206868
92132,0,0,,0,0,0.0
92134,0,241,0.0,0,0,3960.0
