ZIP Code,Population Under 18 years (Selected),Total Population,Population Under 5 years,Population 5 to 9 years,Population 10 to 14 years,Population 15 to 19 years,Percent Population Under 5 years,Percent Population 5 to 9 years,Percent Population 10 to 14 years,Percent Population Under 18 years (Selected),Male Population Under 5 years,Male Population 5 to 9 years,Male Population 10 to 14 years,Female Population Under 5 years,Female Population 5 to 9 years,Female Population 10 to 14 years,Female Population Under 18 years (Selected)
93313,18267,59924,5017,4799,4600,5771,8.4,8.0,7.7,30.5,3126,2925,2229,1891,1874,2371,7996
93314,8928,34156,2338,2396,2578,2596,6.8,7.0,7.5,26.1,1368,853,1099,970,1543,1479,4808
93401,4312,28773,1158,1232,1223,1722,4.0,4.3,4.3,15.0,768,594,594,390,638,629,1967
93402,2773,15572,883,746,687,703,5.7,4.8,4.4,17.8,343,471,297,540,275,390,1502
93405,1729,24991,423,518,459,2617,1.7,2.1,1.8,6.9,185,276,192,238,242,267,892
93407,0,309,0,0,0,272,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93408,1,11,0,0,0,3,0.0,0.0,0.0,9.1,0,0,0,0,0,0,1
93409,0,2591,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93410,96,6523,0,0,0,5246,0.0,0.0,0.0,1.5,0,0,0,0,0,0,36
93420,6840,32126,1805,1783,2135,2047,5.6,5.6,6.6,21.3,710,648,920,1095,1135,1215,3970
93422,6647,33781,1799,1889,1742,1922,5.3,5.6,5.2,19.7,952,784,1006,847,1105,736,3212
93424,64,1174,0,64,0,0,0.0,5.5,0.0,5.5,0,33,0,0,31,0,31
93426,261,1566,105,80,29,142,6.7,5.1,1.9,16.7,56,40,12,49,40,17,132
93427,1275,5980,454,250,352,315,7.6,4.2,5.9,21.3,128,169,116,326,81,236,747
93428,828,6056,217,191,278,298,3.6,3.2,4.6,13.7,124,103,152,93,88,126,401
93429,0,64,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93430,224,2941,33,31,152,91,1.1,1.1,5.2,7.6,23,17,152,10,14,0,32
93432,364,1434,129,0,44,191,9.0,0.0,3.1,25.4,83,0,7,46,0,37,199
93433,2744,12755,714,882,756,442,5.6,6.9,5.9,21.5,302,604,455,412,278,301,1219
93434,2929,8272,849,755,842,581,10.3,9.1,10.2,35.4,437,337,357,412,418,485,1637
93436,13957,55591,3379,4009,4750,3130,6.1,7.2,8.5,25.1,1556,2376,2273,1823,1633,2477,7040
93437,1061,3681,349,382,283,196,9.5,10.4,7.7,28.8,151,169,113,198,213,170,596
93440,90,846,24,48,0,19,2.8,5.7,0.0,10.6,0,0,0,24,48,0,90
93441,147,1085,9,35,61,72,0.8,3.2,5.6,13.5,9,9,40,0,26,21,51
93442,1420,11399,341,377,325,865,3.0,3.3,2.9,12.5,111,178,127,230,199,198,732
93444,4623,22079,982,983,1649,1455,4.4,4.5,7.5,20.9,496,511,1032,486,472,617,2073
93445,1504,6912,464,342,403,342,6.7,4.9,5.8,21.8,219,211,252,245,131,151,619
93446,9962,45720,2586,2618,3234,2606,5.7,5.7,7.1,21.8,1319,1330,1736,1267,1288,1498,4870
93449,952,8050,251,117,341,316,3.1,1.5,4.2,11.8,170,73,238,81,44,103,415
93450,269,830,113,40,77,63,13.6,4.8,9.3,32.4,40,3,47,73,37,30,162
93451,1086,4751,136,400,423,252,2.9,8.4,8.9,22.9,113,283,220,23,117,203,370
93452,89,307,52,37,0,0,16.9,12.1,0.0,29.0,28,37,0,24,0,0,24
93453,175,2096,76,48,26,25,3.6,2.3,1.2,8.3,20,27,13,56,21,13,102
93454,12092,41110,3117,3507,3085,3808,7.6,8.5,7.5,29.4,1905,1883,1441,1212,1624,1644,5421
93455,10383,44186,2624,2500,2890,3769,5.9,5.7,6.5,23.5,1427,1447,1543,1197,1053,1347,4746
93458,20127,59789,6325,5151,5964,5167,10.6,8.6,10.0,33.7,3191,2464,2912,3134,2687,3052,10246
93460,1163,6280,201,379,411,446,3.2,6.0,6.5,18.5,69,165,154,132,214,257,661
93461,312,1369,39,50,145,148,2.8,3.7,10.6,22.8,15,31,69,24,19,76,162
93463,1310,8059,232,427,389,429,2.9,5.3,4.8,16.3,123,133,166,109,294,223,702
93465,2184,9829,237,701,903,554,2.4,7.1,9.2,22.2,97,253,380,140,448,523,1296
93501,1391,5404,334,399,479,226,6.2,7.4,8.9,25.7,86,135,385,248,264,94,706
93505,3467,14952,850,1071,1084,1046,5.7,7.2,7.2,23.2,266,297,671,584,774,413,2003
93510,1370,7397,357,383,432,327,4.8,5.2,5.8,18.5,178,95,274,179,288,158,753
93512,16,313,0,5,7,4,0.0,1.6,2.2,5.1,0,4,5,0,1,2,4
93513,299,1649,74,68,92,75,4.5,4.1,5.6,18.1,45,37,75,29,31,17,84
93514,2991,14692,698,990,885,670,4.8,6.7,6.0,20.4,340,335,557,358,655,328,1479
93516,644,2583,135,205,201,159,5.2,7.9,7.8,24.9,55,133,131,80,72,70,283
93517,35,587,6,29,0,16,1.0,4.9,0.0,6.0,0,29,0,6,0,0,6
93518,102,894,7,19,46,53,0.8,2.1,5.1,11.4,7,6,14,0,13,32,57
93519,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
93522,0,86,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93523,1540,3867,607,434,385,157,15.7,11.2,10.0,39.8,376,255,269,231,179,116,555
93524,0,93,0,0,0,14,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93526,215,855,73,37,55,69,8.5,4.3,6.4,25.1,32,29,32,41,8,23,84
93527,368,1734,80,92,39,157,4.6,5.3,2.2,21.2,31,66,22,49,26,17,205
93528,0,94,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93529,17,302,17,0,0,0,5.6,0.0,0.0,5.6,17,0,0,0,0,0,0
93530,0,28,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93531,43,425,0,0,29,14,0.0,0.0,6.8,10.1,0,0,29,0,0,0,0
93532,520,2768,169,156,97,201,6.1,5.6,3.5,18.8,98,64,97,71,92,0,194
93534,11883,42515,3254,2799,4104,2686,7.7,6.6,9.7,28.0,1615,1752,2156,1639,1047,1948,5449
93535,24534,80905,4384,7359,8620,7074,5.4,9.1,10.7,30.3,2450,3819,4234,1934,3540,4386,11727
93536,16992,72131,4687,3433,5674,5433,6.5,4.8,7.9,23.6,2274,1583,3127,2413,1850,2547,8448
93541,298,817,0,102,143,53,0.0,12.5,17.5,36.5,0,0,143,0,102,0,102
93543,3559,12745,828,937,1325,812,6.5,7.4,10.4,27.9,441,354,629,387,583,696,1876
93544,178,1427,54,67,29,28,3.8,4.7,2.0,12.5,54,22,29,0,45,0,67
93545,391,1342,139,79,129,45,10.4,5.9,9.6,29.1,78,10,75,61,69,54,187
93546,1833,8689,417,358,613,619,4.8,4.1,7.1,21.1,351,102,452,66,256,161,733
93549,0,254,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93550,24358,81501,6373,6475,7687,6466,7.8,7.9,9.4,29.9,2942,3354,3866,3431,3121,3821,12173
93551,13948,54478,3505,3769,4178,3746,6.4,6.9,7.7,25.6,1821,1744,2294,1684,2025,1884,6779
93552,12668,43371,2508,3350,4014,4084,5.8,7.7,9.3,29.2,1325,1825,2341,1183,1525,1673,5470
93553,96,1136,38,20,29,77,3.3,1.8,2.6,8.5,23,0,10,15,20,19,63
93554,0,65,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93555,8700,33490,2402,2341,2596,2290,7.2,7.0,7.8,26.0,1033,829,1058,1369,1512,1538,5110
93558,0,17,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93560,6279,21300,1281,1959,1725,1939,6.0,9.2,8.1,29.5,719,1226,822,562,733,903,3042
93561,7205,31060,1842,2272,2138,1696,5.9,7.3,6.9,23.2,921,1096,1240,921,1176,898,3506
93562,559,1867,115,193,169,129,6.2,10.3,9.1,29.9,82,98,118,33,95,51,192
93563,72,222,47,25,0,0,21.2,11.3,0.0,32.4,0,25,0,47,0,0,47
93581,0,3611,0,0,0,11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93591,2345,7340,667,478,770,632,9.1,6.5,10.5,31.9,196,250,272,471,228,498,1251
93601,103,1206,31,0,40,47,2.6,0.0,3.3,8.5,31,0,6,0,0,34,66
93602,518,3038,72,174,170,148,2.4,5.7,5.6,17.1,35,109,72,37,65,98,264
93603,0,249,0,0,0,7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93604,49,366,0,32,0,17,0.0,8.7,0.0,13.4,0,13,0,0,19,0,27
93605,36,97,0,15,17,7,0.0,15.5,17.5,37.1,0,15,13,0,0,4,8
93606,406,1129,154,104,73,133,13.6,9.2,6.5,36.0,46,56,42,108,48,31,219
93608,289,1018,58,90,116,31,5.7,8.8,11.4,28.4,29,23,72,29,67,44,146
93609,1298,4889,227,340,364,592,4.6,7.0,7.4,26.5,159,222,253,68,118,111,479
93610,5470,23795,1515,1750,1254,1564,6.4,7.4,5.3,23.0,727,949,912,788,801,342,2489
93611,12296,46620,2812,3205,4066,3389,6.0,6.9,8.7,26.4,1222,1543,1946,1590,1662,2120,6639
93612,10081,37138,2422,2841,3062,2601,6.5,7.6,8.2,27.1,1179,1708,1679,1243,1133,1383,4493
93614,2542,11760,650,646,859,533,5.5,5.5,7.3,21.6,270,330,434,380,316,425,1331
93615,1932,5767,391,672,528,555,6.8,11.7,9.2,33.5,299,424,249,92,248,279,853
93616,637,2163,150,134,231,224,6.9,6.2,10.7,29.4,98,80,138,52,54,93,256
93618,10842,32334,2544,2830,3708,3034,7.9,8.8,11.5,33.5,1579,1388,2375,965,1442,1333,4789
93619,15693,50848,3544,4631,5152,3278,7.0,9.1,10.1,30.9,1965,2408,2788,1579,2223,2364,7372
93620,2189,9363,586,387,732,871,6.3,4.1,7.8,23.4,321,229,169,265,158,563,1378
93621,0,173,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93622,3269,9419,710,984,929,1003,7.5,10.4,9.9,34.7,430,404,477,280,580,452,1825
93623,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93624,249,892,29,43,77,132,3.3,4.8,8.6,27.9,9,25,32,20,18,45,121
93625,2501,8396,570,755,667,773,6.8,9.0,7.9,29.8,288,501,215,282,254,452,1281
93626,651,2583,148,96,217,217,5.7,3.7,8.4,25.2,122,70,85,26,26,132,198
93627,110,196,14,6,28,62,7.1,3.1,14.3,56.1,0,0,0,14,6,28,110
93628,0,310,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93630,6555,20272,1420,1652,2148,1955,7.0,8.1,10.6,32.3,666,889,1006,754,763,1142,3388
93631,4209,16588,869,1190,1128,1415,5.2,7.2,6.8,25.4,284,696,575,585,494,553,2195
93633,0,26,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93634,0,29,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93635,16245,47683,4364,4214,5008,4188,9.2,8.8,10.5,34.1,1887,1764,2539,2477,2450,2469,8405
93636,3435,13447,773,981,1156,736,5.7,7.3,8.6,25.5,452,602,583,321,379,573,1457
93637,12756,41324,3246,3520,3941,3363,7.9,8.5,9.5,30.9,1694,1499,1983,1552,2021,1958,6262
93638,16330,51724,4148,4474,4734,4690,8.0,8.6,9.2,31.6,2290,2372,2353,1858,2102,2381,8064
93640,5010,14162,1282,1454,1634,1109,9.1,10.3,11.5,35.4,604,932,907,678,522,727,2200
93641,27,216,14,0,13,0,6.5,0.0,6.0,12.5,14,0,13,0,0,0,0
93643,422,3115,61,89,184,143,2.0,2.9,5.9,13.5,61,52,146,0,37,38,127
93644,1208,7169,317,217,460,280,4.4,3.0,6.4,16.9,103,40,223,214,177,237,702
93645,203,897,0,98,17,257,0.0,10.9,1.9,22.6,0,39,0,0,59,17,97
93646,3701,10157,846,997,1163,1078,8.3,9.8,11.5,36.4,420,586,629,426,411,534,1624
93647,4003,11828,1163,1086,1131,928,9.8,9.2,9.6,33.8,632,522,598,531,564,533,1895
93648,4852,15370,1143,1261,1427,1598,7.4,8.2,9.3,31.6,521,649,731,622,612,696,2503
93650,660,2844,171,109,220,381,6.0,3.8,7.7,23.2,101,85,101,70,24,119,321
93651,364,1580,256,84,11,93,16.2,5.3,0.7,23.0,179,26,0,77,58,11,146
93652,66,378,36,7,16,22,9.5,1.9,4.2,17.5,16,0,10,20,7,6,37
93653,254,1378,31,29,83,142,2.2,2.1,6.0,18.4,12,14,30,19,15,53,141
93654,8818,30476,2495,2358,2376,2726,8.2,7.7,7.8,28.9,991,1213,1156,1504,1145,1220,4612
93656,1624,6249,427,485,469,562,6.8,7.8,7.5,26.0,222,98,259,205,387,210,926
93657,10036,36053,2787,3038,2447,2572,7.7,8.4,6.8,27.8,1430,1454,1124,1357,1584,1323,5064
93660,1444,3921,433,394,386,378,11.0,10.0,9.8,36.8,168,176,218,265,218,168,800
93662,7905,30191,1996,2192,2172,2465,6.6,7.3,7.2,26.2,931,1096,1110,1065,1096,1062,3897
93664,9,288,0,0,3,9,0.0,0.0,1.0,3.1,0,0,3,0,0,0,0
93665,40,386,0,0,0,75,0.0,0.0,0.0,10.4,0,0,0,0,0,0,40
93666,272,704,52,92,93,61,7.4,13.1,13.2,38.6,34,64,52,18,28,41,116
93667,328,1909,71,86,125,58,3.7,4.5,6.5,17.2,21,44,62,50,42,63,196
93668,271,1025,71,36,71,122,6.9,3.5,6.9,26.4,53,17,40,18,19,31,103
93669,54,324,0,21,31,2,0.0,6.5,9.6,16.7,0,21,0,0,0,31,33
93670,0,108,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93673,74,378,30,21,21,16,7.9,5.6,5.6,19.6,8,11,19,22,10,2,36
93675,1587,4891,331,516,457,465,6.8,10.5,9.3,32.4,185,295,265,146,221,192,753
93701,2978,10602,565,946,999,771,5.3,8.9,9.4,28.1,213,446,582,352,500,417,1475
93702,14483,45248,3352,3921,4952,4272,7.4,8.7,10.9,32.0,1741,2095,2464,1611,1826,2488,6919
93703,9601,32603,2710,2546,2665,2809,8.3,7.8,8.2,29.4,1278,1274,1623,1432,1272,1042,4452
93704,7670,29502,1966,2096,2542,1467,6.7,7.1,8.6,26.0,921,1120,1087,1045,976,1455,3985
93705,11677,38777,3614,3039,3374,3151,9.3,7.8,8.7,30.1,1915,1252,1732,1699,1787,1642,5777
93706,13081,41523,3333,3419,3770,3795,8.0,8.2,9.1,31.5,1999,1796,1971,1334,1623,1799,6100
93710,6737,32730,1945,1839,1872,2716,5.9,5.6,5.7,20.6,811,734,973,1134,1105,899,3722
93711,8590,39963,2467,2647,2382,1759,6.2,6.6,6.0,21.5,1239,1243,1292,1228,1404,1090,4244
93720,10956,48597,2695,3633,2785,2649,5.5,7.5,5.7,22.5,1509,1950,1499,1186,1683,1286,5092
93721,1068,8004,278,346,275,293,3.5,4.3,3.4,13.3,175,251,128,103,95,147,422
93722,24263,86387,6367,6586,7447,6250,7.4,7.6,8.6,28.1,3463,3676,3524,2904,2910,3923,11673
93723,4094,13174,1215,1147,1040,1059,9.2,8.7,7.9,31.1,596,586,603,619,561,437,1910
93725,8359,26568,1976,2493,2625,2081,7.4,9.4,9.9,31.5,1118,1645,1243,858,848,1382,3700
93726,12099,44790,3426,3575,3343,2975,7.6,8.0,7.5,27.0,1923,1909,1860,1503,1666,1483,5449
93727,25530,82176,7515,6996,7480,5633,9.1,8.5,9.1,31.1,3897,3413,3651,3618,3583,3829,12596
93728,4444,17892,1424,1225,1129,1102,8.0,6.8,6.3,24.8,870,343,703,554,882,426,2168
93730,3174,12461,499,684,1366,905,4.0,5.5,11.0,25.5,263,373,675,236,311,691,1545
93737,1923,6624,554,426,661,409,8.4,6.4,10.0,29.0,221,159,384,333,267,277,979
93740,22,1174,0,0,0,620,0.0,0.0,0.0,1.9,0,0,0,0,0,0,20
93741,2,77,0,0,1,2,0.0,0.0,1.3,2.6,0,0,1,0,0,0,0
93901,7467,29498,2323,2198,1776,1834,7.9,7.5,6.0,25.3,1009,1348,900,1314,850,876,3515
93905,21398,63121,5171,6109,6587,5996,8.2,9.7,10.4,33.9,2656,3176,3742,2515,2933,2845,9710
93906,18816,66883,5454,4504,5798,5305,8.2,6.7,8.7,28.1,2881,2284,3081,2573,2220,2717,9070
93907,6251,25124,1240,1684,2209,2027,4.9,6.7,8.8,24.9,558,944,1044,682,740,1165,3251
93908,3412,12983,514,1202,1044,1030,4.0,9.3,8.0,26.3,246,559,420,268,643,624,1838
93920,409,1790,80,232,77,116,4.5,13.0,4.3,22.8,4,125,4,76,107,73,259
93921,259,2469,54,27,162,31,2.2,1.1,6.6,10.5,0,27,77,54,0,85,139
93923,2032,12630,388,466,633,682,3.1,3.7,5.0,16.1,86,260,392,302,206,241,1029
93924,1140,6563,88,480,354,321,1.3,7.3,5.4,17.4,34,306,136,54,174,218,567
93925,467,1352,66,168,152,133,4.9,12.4,11.2,34.5,47,82,109,19,86,43,177
93926,2437,8941,729,704,605,767,8.2,7.9,6.8,27.3,186,326,399,543,378,206,1369
93927,7254,19983,2123,1829,2056,1883,10.6,9.2,10.3,36.3,1051,755,980,1072,1074,1076,3908
93928,28,1040,0,0,0,169,0.0,0.0,0.0,2.7,0,0,0,0,0,0,0
93930,5473,16807,1592,1578,1210,1629,9.5,9.4,7.2,32.6,956,559,532,636,1019,678,2895
93932,15,370,0,0,7,8,0.0,0.0,1.9,4.1,0,0,0,0,0,7,7
93933,6067,27197,1638,1758,1724,1697,6.0,6.5,6.3,22.3,960,1054,925,678,704,799,2758
93940,4598,31513,1745,1049,1203,950,5.5,3.3,3.8,14.6,905,573,525,840,476,678,2357
93943,0,12,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93944,107,2605,0,0,0,664,0.0,0.0,0.0,4.1,0,0,0,0,0,0,0
93950,2585,15098,545,859,737,562,3.6,5.7,4.9,17.1,203,372,257,342,487,480,1565
93953,482,3416,123,115,164,128,3.6,3.4,4.8,14.1,36,81,76,87,34,88,251
93954,189,501,36,51,68,62,7.2,10.2,13.6,37.7,0,16,40,36,35,28,110
93955,7241,32610,1843,2153,1936,2768,5.7,6.6,5.9,22.2,1175,1086,875,668,1067,1061,3332
93960,6453,26037,1186,1572,2582,2009,4.6,6.0,9.9,24.8,748,1117,1224,438,455,1358,2840
93962,0,198,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
94002,6395,27893,1429,1578,1943,1971,5.1,5.7,7.0,22.9,744,995,1136,685,583,807,2628
94005,959,4756,275,356,229,236,5.8,7.5,4.8,20.2,159,191,96,116,165,133,497
94010,10367,43458,2264,3021,3228,2449,5.2,7.0,7.4,23.9,1300,1786,1806,964,1235,1422,4488
94014,6909,46331,1611,1558,2027,2644,3.5,3.4,4.4,14.9,811,860,935,800,698,1092,3613
94015,10292,65125,3339,2997,2407,3173,5.1,4.6,3.7,15.8,1446,1554,1054,1893,1443,1353,5535
94018,589,3423,78,80,273,250,2.3,2.3,8.0,17.2,44,80,144,34,0,129,253
94019,2832,15275,777,675,983,749,5.1,4.4,6.4,18.5,421,311,404,356,364,579,1542
94020,339,2030,136,140,45,40,6.7,6.9,2.2,16.7,91,44,11,45,96,34,188
94021,34,123,0,0,34,0,0.0,0.0,27.6,27.6,0,0,34,0,0,0,0
94022,4515,20052,855,1078,1593,1265,4.3,5.4,7.9,22.5,388,532,818,467,546,775,2369
94024,5901,24041,962,1673,1977,1866,4.0,7.0,8.2,24.5,514,884,1109,448,789,868,2649
94025,9500,41017,2748,3015,2450,2117,6.7,7.4,6.0,23.2,1590,1453,1063,1158,1562,1387,4856
94027,1419,7142,123,219,644,870,1.7,3.1,9.0,19.9,85,130,315,38,89,329,611
94028,1089,6888,318,324,231,378,4.6,4.7,3.4,15.8,114,119,209,204,205,22,605
94030,4319,22825,1266,987,1177,1346,5.5,4.3,5.2,18.9,696,545,661,570,442,516,2056
94037,154,2649,116,32,0,67,4.4,1.2,0.0,5.8,0,32,0,116,0,0,116
94038,776,3165,213,131,157,312,6.7,4.1,5.0,24.5,150,93,157,63,38,0,317
94040,7714,35667,2086,2338,1904,2119,5.8,6.6,5.3,21.6,844,1144,1074,1242,1194,830,3890
94041,3258,15222,1233,932,705,653,8.1,6.1,4.6,21.4,703,472,360,530,460,345,1513
94043,6522,32670,2118,1595,1835,1345,6.5,4.9,5.6,20.0,1003,864,886,1115,731,949,3280
94044,7338,38061,1933,1942,2109,2194,5.1,5.1,5.5,19.3,890,805,1185,1043,1137,924,3646
94060,145,1312,54,45,32,30,4.1,3.4,2.4,11.1,54,31,32,0,14,0,28
94061,8000,37539,2293,1898,2158,2434,6.1,5.1,5.7,21.3,1131,1045,1221,1162,853,937,3590
94062,5722,26531,1213,1474,2085,1368,4.6,5.6,7.9,21.6,676,714,1110,537,760,975,2777
94063,7779,34807,1984,2352,2207,2035,5.7,6.8,6.3,22.3,869,1218,1072,1115,1134,1135,4001
94065,2697,11588,729,819,800,501,6.3,7.1,6.9,23.3,349,344,399,380,475,401,1456
94066,8111,43369,2048,2527,2351,2079,4.7,5.8,5.4,18.7,1062,1426,1188,986,1101,1163,3811
94070,7328,31312,1654,2110,2162,1796,5.3,6.7,6.9,23.4,817,1071,1111,837,1039,1051,3531
94074,48,151,19,0,29,0,12.6,0.0,19.2,31.8,19,0,29,0,0,0,0
94080,11389,66262,2960,3400,3114,3607,4.5,5.1,4.7,17.2,1716,1894,1323,1244,1506,1791,5477
94085,3946,22996,1584,1104,715,809,6.9,4.8,3.1,17.2,843,468,445,741,636,270,1920
94086,9214,49217,3931,2206,2013,1430,8.0,4.5,4.1,18.7,1962,1120,995,1969,1086,1018,4560
94087,14312,58913,3645,4063,4605,2741,6.2,6.9,7.8,24.3,2220,1901,2425,1425,2162,2180,6780
94089,3322,23447,1164,947,748,728,5.0,4.0,3.2,14.2,727,587,283,437,360,465,1502
94102,3252,34077,1044,723,1057,949,3.1,2.1,3.1,9.5,513,290,372,531,433,685,1852
94103,3031,32400,984,930,688,590,3.0,2.9,2.1,9.4,720,558,446,264,372,242,1061
94104,52,557,0,7,31,36,0.0,1.3,5.6,9.3,0,7,16,0,0,15,29
94105,624,13722,402,41,57,196,2.9,0.3,0.4,4.5,298,14,22,104,27,35,166
94107,2854,30340,1210,877,503,721,4.0,2.9,1.7,9.4,463,414,275,747,463,228,1654
94108,1130,12070,284,300,302,413,2.4,2.5,2.5,9.4,150,165,202,134,135,100,554
94109,3574,56333,1557,658,900,989,2.8,1.2,1.6,6.3,714,368,435,843,290,465,1764
94110,10330,69679,3492,3056,2619,1665,5.0,4.4,3.8,14.8,1923,1558,1472,1569,1498,1147,4765
94111,476,4468,140,196,45,190,3.1,4.4,1.0,10.7,71,161,25,69,35,20,139
94112,13781,80880,3240,3948,4104,3548,4.0,4.9,5.1,17.0,1627,1973,1981,1613,1975,2123,7190
94114,3813,33858,1147,1200,1102,490,3.4,3.5,3.3,11.3,622,439,574,525,761,528,1972
94115,3558,33299,1307,742,961,938,3.9,2.2,2.9,10.7,732,359,669,575,383,292,1515
94116,7428,43903,2148,2445,1968,1341,4.9,5.6,4.5,16.9,979,1514,969,1169,931,999,3579
94117,4162,39496,1724,1182,762,845,4.4,3.0,1.9,10.5,892,531,320,832,651,442,2168
94118,5650,40108,1813,1351,1475,2482,4.5,3.4,3.7,14.1,993,621,889,820,730,586,2657
94121,7048,43304,2259,1601,1915,1787,5.2,3.7,4.4,16.3,1215,952,742,1044,649,1173,3669
94122,8580,59453,2854,2235,2139,2096,4.8,3.8,3.6,14.4,1305,1125,1031,1549,1110,1108,4397
94123,3251,24721,1457,603,697,603,5.9,2.4,2.8,13.2,680,247,355,777,356,342,1707
94124,8541,37347,2324,2145,2408,2522,6.2,5.7,6.4,22.9,1291,1128,1219,1033,1017,1189,3825
94127,3704,21184,803,917,1417,714,3.8,4.3,6.7,17.5,300,520,747,503,397,670,1827
94128,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
94129,1011,3952,478,257,239,103,12.1,6.5,6.0,25.6,310,76,173,168,181,66,430
94130,496,3136,96,106,137,330,3.1,3.4,4.4,15.8,66,69,95,30,37,42,134
94131,4678,28705,1452,1416,1283,906,5.1,4.9,4.5,16.3,767,641,663,685,775,620,2380
94132,3310,27641,592,889,1031,3027,2.1,3.2,3.7,12.0,225,564,511,367,325,520,1571
94133,2667,25460,1104,433,760,657,4.3,1.7,3.0,10.5,536,241,485,568,192,275,1212
94134,6546,40738,1609,1585,2309,1614,3.9,3.9,5.7,16.1,784,729,1304,825,856,1005,3217
94158,1855,10205,1057,401,238,308,10.4,3.9,2.3,18.2,427,163,47,630,238,191,1127
94188,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
94301,3314,17259,509,756,1167,1254,2.9,4.4,6.8,19.2,261,400,531,248,356,636,1732
94303,11719,47989,2803,2854,3465,3937,5.8,5.9,7.2,24.4,1316,1500,1795,1487,1354,1670,5655
94304,771,4489,285,240,151,140,6.3,5.3,3.4,17.2,90,134,44,195,106,107,456
94305,1117,17279,310,195,288,4963,1.8,1.1,1.7,6.5,144,77,136,166,118,152,571
94306,6178,27785,1363,1522,2049,1718,4.9,5.5,7.4,22.2,525,887,954,838,635,1095,3167
94401,6636,35392,2155,2045,1537,1774,6.1,5.8,4.3,18.8,1177,1234,603,978,811,934,3115
94402,5849,26150,1534,1511,1762,1458,5.9,5.8,6.7,22.4,834,483,893,700,1028,869,3174
94403,8526,43858,2504,1942,2789,1779,5.7,4.4,6.4,19.4,1366,1004,1592,1138,938,1197,3912
94404,7872,36397,2256,2270,2094,1662,6.2,6.2,5.8,21.6,1067,1142,1046,1189,1128,1048,3895
94501,13453,63340,4139,3589,3842,2765,6.5,5.7,6.1,21.2,2210,1920,1757,1929,1669,2085,6505
94502,3117,14225,637,1159,758,563,4.5,8.1,5.3,21.9,425,623,437,212,536,321,1324
94503,5524,21791,1146,1301,1956,1680,5.3,6.0,9.0,25.3,535,653,899,611,648,1057,2833
94505,3405,15445,936,860,904,1227,6.1,5.6,5.9,22.0,685,353,501,251,507,403,1516
94506,6616,26947,1126,1370,2612,2187,4.2,5.1,9.7,24.6,672,616,945,454,754,1667,3475
94507,3112,14503,464,765,1045,1104,3.2,5.3,7.2,21.5,258,406,562,206,359,483,1482
94508,514,3406,114,115,159,636,3.3,3.4,4.7,15.1,55,51,110,59,64,49,230
94509,17605,70889,4647,4463,4943,5360,6.6,6.3,7.0,24.8,2343,2004,1992,2304,2459,2951,9697
94510,5575,27223,1361,1603,1545,1622,5.0,5.9,5.7,20.5,764,915,797,597,688,748,2588
94511,299,1993,0,51,221,100,0.0,2.6,11.1,15.0,0,0,148,0,51,73,124
94512,0,57,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
94513,17035,67580,2267,4752,6021,6368,3.4,7.0,8.9,25.2,1182,2466,2629,1085,2286,3392,8775
94514,438,2023,49,100,182,256,2.4,4.9,9.0,21.7,35,27,121,14,73,61,148
94515,941,7024,340,162,204,340,4.8,2.3,2.9,13.4,208,59,118,132,103,86,419
94516,30,212,24,0,4,2,11.3,0.0,1.9,14.2,0,0,3,24,0,1,25
94517,2814,12349,452,746,960,1061,3.7,6.0,7.8,22.8,279,484,531,173,262,429,1230
94518,5712,28287,1913,1639,1251,1479,6.8,5.8,4.4,20.2,959,932,553,954,707,698,2795
94519,4308,20162,1117,1357,1223,924,5.5,6.7,6.1,21.4,627,540,816,490,817,407,2064
