Zipcode,Population,Per Capita Income,Poverty Count,Poverty Rate
90601,30623.0,33748.0,2945.0,9.616954576625412
90254,19147.0,96152.0,803.0,4.193868491147438
90710,28566.0,29691.0,3639.0,12.738920394875027
90073,962.0,13692.0,513.0,53.32640332640332
90079,0.0,-666666666.0,0.0,
90089,3740.0,7595.0,20.0,0.5347593582887701
90090,0.0,-666666666.0,0.0,
90094,9065.0,105453.0,483.0,5.328185328185328
90095,0.0,-666666666.0,0.0,
90506,0.0,-666666666.0,0.0,
90747,0.0,-666666666.0,0.0,
90755,11458.0,41270.0,1474.0,12.86437423634142
90831,0.0,-666666666.0,0.0,
92363,5374.0,20648.0,1574.0,29.289170078154076
92008,27119.0,51643.0,2576.0,9.498875327261329
92036,2619.0,38344.0,233.0,8.896525391370751
92106,20592.0,62484.0,1074.0,5.215617715617715
92108,21013.0,53133.0,2182.0,10.384047970304097
92109,46777.0,57739.0,3709.0,7.9291104602689355
92121,4668.0,58369.0,800.0,17.13796058269066
92128,52225.0,51775.0,2687.0,5.1450454763044515
92227,27165.0,19597.0,8358.0,30.767531750414136
92249,8459.0,16113.0,1077.0,12.7320014186074
92257,1217.0,11002.0,700.0,57.51848808545604
92264,20881.0,54887.0,2817.0,13.490733202432834
92277,24464.0,20410.0,5868.0,23.986265533028124
92301,34791.0,14443.0,8040.0,23.109424851254634
92315,5307.0,33883.0,831.0,15.65856416054268
92105,75990.0,21247.0,18208.0,23.96104750625082
92107,31667.0,51062.0,2824.0,8.91780086525405
95073,11289.0,48076.0,1371.0,12.144565506245018
95139,7262.0,47008.0,124.0,1.7075185899201322
95322,10016.0,24942.0,1976.0,19.728434504792332
95372,1761.0,31302.0,113.0,6.416808631459398
95421,1662.0,38497.0,226.0,13.598074608904934
95442,3143.0,111898.0,464.0,14.762965319758193
95635,801.0,33582.0,120.0,14.9812734082397
95351,48844.0,16371.0,10955.0,22.428548030464334
95013,34.0,,0.0,0.0
95053,3835.0,4946.0,0.0,0.0
95075,429.0,48241.0,24.0,5.594405594405594
95645,1704.0,19604.0,365.0,21.420187793427232
93932,502.0,33188.0,98.0,19.52191235059761
93953,3783.0,89772.0,101.0,2.669838752312979
93003,51461.0,40014.0,4430.0,8.608460776121722
93023,21011.0,46863.0,1723.0,8.200466422350198
93103,20542.0,52794.0,2098.0,10.213221692142927
93108,10451.0,107232.0,540.0,5.166969667974357
93601,1418.0,33050.0,102.0,7.193229901269394
93603,141.0,22146.0,99.0,70.2127659574468
93928,1019.0,31680.0,0.0,0.0
93245,38275.0,27426.0,4467.0,11.670803396472893
93449,8042.0,61673.0,650.0,8.082566525739866
93628,289.0,31959.0,0.0,0.0
95959,17838.0,43137.0,2107.0,11.811862316403184
95965,20681.0,20519.0,5093.0,24.62646873942266
95966,29444.0,25612.0,4686.0,15.914957206901237
95970,533.0,41147.0,139.0,26.078799249530956
95993,37713.0,34953.0,3153.0,8.36051229019171
95204,28860.0,30653.0,4176.0,14.46985446985447
95230,661.0,39507.0,66.0,9.984871406959153
95231,5520.0,15095.0,590.0,10.68840579710145
95246,1234.0,33931.0,60.0,4.862236628849271
95247,3853.0,36721.0,158.0,4.100700752660265
95315,14434.0,20990.0,2437.0,16.88374670915893
95325,65.0,,0.0,0.0
95326,10669.0,32771.0,1081.0,10.13215859030837
95328,3680.0,17536.0,869.0,23.61413043478261
95841,20063.0,27946.0,3035.0,15.127348851118976
95912,5112.0,27754.0,455.0,8.900625978090767
95942,1605.0,111240.0,99.0,6.168224299065421
95944,80.0,42585.0,0.0,0.0
95948,12122.0,24344.0,948.0,7.820491668041577
95950,494.0,15526.0,252.0,51.012145748987855
95953,11073.0,23916.0,2014.0,18.188386164544387
95956,399.0,40162.0,19.0,4.761904761904762
95983,306.0,31536.0,8.0,2.6143790849673203
95987,6040.0,26563.0,692.0,11.456953642384105
95334,17624.0,18359.0,2786.0,15.807989105764866
95337,40657.0,31801.0,3954.0,9.725262562412377
95356,32387.0,36601.0,2870.0,8.861580263686047
95363,28333.0,25886.0,2338.0,8.251861786609254
95383,3816.0,52086.0,193.0,5.0576519916142555
95387,600.0,14577.0,52.0,8.666666666666666
95403,44716.0,35913.0,3771.0,8.433223007424635
95409,26739.0,51596.0,1544.0,5.774337110587531
95422,15644.0,18750.0,4447.0,28.42623369982102
95423,3597.0,30478.0,593.0,16.48596052265777
95425,11144.0,44842.0,962.0,8.632447954055994
95454,2165.0,21095.0,568.0,26.23556581986143
95456,682.0,30711.0,146.0,21.407624633431084
95459,838.0,31725.0,83.0,9.904534606205251
95464,2715.0,19613.0,654.0,24.08839779005525
95493,99.0,35913.0,14.0,14.141414141414142
95525,1403.0,35592.0,313.0,22.30933713471133
95526,210.0,42859.0,59.0,28.095238095238095
95548,1123.0,20078.0,247.0,21.9946571682992
95555,390.0,27639.0,116.0,29.743589743589745
95570,2599.0,34556.0,384.0,14.774913428241632
95573,1285.0,28171.0,101.0,7.8599221789883265
92509,82377.0,23112.0,9920.0,12.04219624409726
92539,4433.0,22633.0,565.0,12.7453191969321
92543,37492.0,19086.0,8295.0,22.12471994025392
92586,18615.0,27798.0,1940.0,10.421702927746441
92592,86115.0,40026.0,4891.0,5.67961446902398
92618,54509.0,56365.0,4485.0,8.227999046029096
92625,13149.0,114669.0,771.0,5.863563769107917
92679,32784.0,78631.0,1037.0,3.163128355295266
92688,44586.0,49064.0,2704.0,6.064683981518862
92708,56811.0,39145.0,4933.0,8.68317755364278
92806,40216.0,32366.0,4710.0,11.711756514819973
92843,47823.0,23057.0,5930.0,12.399891265708968
92870,53194.0,38930.0,4073.0,7.6568785953303005
92004,2284.0,45021.0,154.0,6.742556917688266
92007,11973.0,60519.0,1937.0,16.178067318132463
92037,38261.0,81845.0,3578.0,9.351559028776038
92020,57796.0,29038.0,9245.0,15.99591667243408
92025,52276.0,27745.0,9854.0,18.849950263983473
92027,57225.0,29210.0,6113.0,10.682394058540847
92065,36460.0,41840.0,1634.0,4.481623697202414
92078,52810.0,39749.0,4916.0,9.308843022154894
92117,58651.0,41776.0,5618.0,9.57869431041244
92123,34103.0,42996.0,3755.0,11.010761516582118
92139,36172.0,26557.0,3006.0,8.310295255999115
92173,31248.0,18615.0,6188.0,19.802867383512545
92223,56925.0,30840.0,6050.0,10.628019323671497
92230,2363.0,24154.0,393.0,16.631400761743546
92240,36214.0,21513.0,8064.0,22.26763130281107
92254,8336.0,13872.0,2133.0,25.587811900191937
92280,0.0,-666666666.0,0.0,
92313,12559.0,31146.0,1088.0,8.663110120232503
92316,29176.0,20195.0,4414.0,15.128873046339457
92324,59628.0,22284.0,8660.0,14.523378278661031
92354,22991.0,31323.0,2999.0,13.044234700534991
92377,20606.0,28504.0,2445.0,11.865476074929632
92507,59612.0,22031.0,11028.0,18.49963094678924
92548,8502.0,19920.0,1150.0,13.526229122559398
92563,71394.0,33469.0,3925.0,5.497660867860044
92591,41588.0,36030.0,3165.0,7.61036837549293
92610,17002.0,57338.0,435.0,2.5585225267615574
92624,6376.0,58944.0,257.0,4.030740276035131
92629,27023.0,66506.0,1356.0,5.017947674203456
92649,35856.0,56757.0,2957.0,8.246876394466756
92701,54796.0,17696.0,11249.0,20.52887072049055
92675,39827.0,50937.0,2825.0,7.09317799482763
92683,90833.0,29003.0,13987.0,15.39858861867383
92691,50033.0,47351.0,2574.0,5.144604560989746
92040,45392.0,34821.0,3676.0,8.098343320408883
92064,49768.0,49360.0,2383.0,4.788217328403793
93652,563.0,16538.0,187.0,33.214920071047956
93033,84902.0,18224.0,12569.0,14.804127111257685
93036,47126.0,27901.0,5059.0,10.735050715104189
93042,124.0,31015.0,0.0,0.0
93043,82.0,14201.0,0.0,0.0
93064,0.0,-666666666.0,0.0,
93220,45.0,,45.0,100.0
93258,1366.0,12023.0,571.0,41.800878477306
93314,30805.0,46739.0,2044.0,6.635286479467619
93410,0.0,-666666666.0,0.0,
93519,0.0,-666666666.0,0.0,
91502,11218.0,33986.0,1814.0,16.170440363701193
91602,20339.0,64505.0,1590.0,7.817493485422095
91706,76581.0,21073.0,9550.0,12.470456118358339
91710,90481.0,27294.0,7297.0,8.06467656193013
91711,36217.0,47627.0,1651.0,4.5586326863075355
91906,4327.0,21369.0,1047.0,24.196903166165935
91913,51054.0,39780.0,2436.0,4.771418498060877
91942,40714.0,36142.0,5389.0,13.236233236724468
91948,115.0,25197.0,0.0,0.0
91962,2652.0,50515.0,26.0,0.9803921568627451
91978,10949.0,33124.0,1321.0,12.065028769750661
91001,36697.0,51438.0,2663.0,7.256723982886885
91354,33039.0,50447.0,1397.0,4.228336208723024
91010,26516.0,30366.0,2555.0,9.635691657866948
91203,15794.0,35280.0,2626.0,16.626567050778778
91340,37221.0,21888.0,3916.0,10.520942478708257
91362,37085.0,61757.0,2563.0,6.911150060671431
91364,28395.0,58161.0,1859.0,6.54692727592886
91202,23399.0,46869.0,2249.0,9.611521859908542
91207,11318.0,51165.0,1182.0,10.443541261707015
91208,15146.0,59930.0,959.0,6.331704740525551
91214,31668.0,44763.0,1360.0,4.2945560186939495
91307,25794.0,52049.0,1217.0,4.718151508102659
91311,41811.0,42838.0,2718.0,6.500681638803186
91344,55694.0,41832.0,4080.0,7.325744245340611
91730,74843.0,30850.0,7113.0,9.503894819822829
91764,57265.0,22575.0,9065.0,15.829913559766
91775,24517.0,41411.0,1988.0,8.108659297630215
91790,44601.0,29534.0,3370.0,7.555884397210825
91977,63267.0,28848.0,7293.0,11.527336526151075
91020,8785.0,35720.0,1178.0,13.409220261809903
91030,25478.0,64960.0,1734.0,6.805871732475077
91104,37784.0,41082.0,4771.0,12.62703789964006
91205,37549.0,28124.0,7519.0,20.02450131827745
91007,33827.0,42873.0,3011.0,8.90117361870695
91042,26617.0,32984.0,3600.0,13.525190667618439
91206,33781.0,41876.0,4899.0,14.502234984162696
91301,26021.0,72036.0,946.0,3.635525152761231
91320,44667.0,52082.0,2811.0,6.293236617637182
91321,34340.0,32762.0,4651.0,13.54397204426325
91350,38611.0,40634.0,3590.0,9.29786848307477
91351,30746.0,33572.0,3671.0,11.939764522214272
91361,19953.0,82003.0,868.0,4.350223024106651
91601,35312.0,38857.0,6300.0,17.840960579972815
91606,45003.0,26824.0,7715.0,17.143301557673933
91732,61075.0,19201.0,9356.0,15.318870241506344
91755,27254.0,28324.0,3552.0,13.032949291847068
91801,54161.0,34389.0,5460.0,10.081054633407803
91803,30093.0,29485.0,4708.0,15.644834346858074
92551,34441.0,20845.0,4374.0,12.699979675386894
92553,74107.0,17738.0,14243.0,19.219506929169984
92567,10012.0,29759.0,1462.0,14.60247702756692
92570,60370.0,21024.0,9427.0,15.615371873447076
92604,28330.0,46478.0,2541.0,8.969290504765267
92646,56568.0,50722.0,3281.0,5.8000989958987414
92662,2710.0,104040.0,37.0,1.3653136531365313
92677,65508.0,62364.0,4311.0,6.5808756182451
92804,88173.0,25480.0,14189.0,16.09222777947898
92821,39140.0,43425.0,2529.0,6.461420541645375
92860,27219.0,35120.0,1562.0,5.738638451081965
92866,15428.0,39988.0,2765.0,17.921960072595283
92879,49481.0,28385.0,6542.0,13.22123643418686
92337,39600.0,25410.0,3762.0,9.5
92342,6725.0,29757.0,418.0,6.215613382899628
92345,83731.0,20023.0,16685.0,19.926908791248163
92346,63395.0,28596.0,8636.0,13.622525435759918
92347,683.0,12829.0,208.0,30.453879941434845
92359,9779.0,25766.0,982.0,10.041926577359648
92376,86719.0,19598.0,13854.0,15.975737727602947
92399,55070.0,32321.0,4678.0,8.494643181405484
92405,30782.0,16720.0,8645.0,28.084594893119355
92706,39080.0,29143.0,4305.0,11.015864892528148
92808,21787.0,56502.0,863.0,3.9610777068894296
92882,74742.0,30138.0,6680.0,8.93741136175109
92887,19362.0,63593.0,583.0,3.0110525772130976
92327,835.0,15666.0,361.0,43.23353293413174
92307,38848.0,28007.0,6438.0,16.572281713344317
92003,5123.0,43732.0,520.0,10.150302557095452
92021,71183.0,27790.0,13247.0,18.609780425101498
92059,1578.0,50557.0,137.0,8.681875792141952
92024,50994.0,67275.0,2559.0,5.018237439698788
92028,48736.0,34610.0,6311.0,12.949359816152331
92070,892.0,29441.0,137.0,15.358744394618833
92071,57207.0,35291.0,4459.0,7.794500672994563
92101,42423.0,66292.0,7027.0,16.564127949461376
92110,30047.0,41503.0,3474.0,11.561886378007788
92111,49874.0,33931.0,5860.0,11.749609014717088
92119,24915.0,47205.0,1369.0,5.4946819185229785
92127,50092.0,60629.0,1166.0,2.327717000718678
92129,56608.0,51831.0,3337.0,5.894926512153759
92201,64967.0,25049.0,12827.0,19.743869964751337
92210,5137.0,98898.0,324.0,6.307183180844851
92211,25530.0,53979.0,2906.0,11.382687034860949
92241,7695.0,21637.0,1560.0,20.2729044834308
92242,1300.0,21790.0,185.0,14.23076923076923
92243,50112.0,19276.0,11941.0,23.828623882503194
92251,24321.0,20570.0,1385.0,5.694667160067431
92252,9500.0,24965.0,2073.0,21.821052631578947
92260,34553.0,43540.0,4497.0,13.0147888750615
92266,119.0,21145.0,0.0,0.0
92267,26.0,,0.0,0.0
92270,18537.0,70085.0,2149.0,11.593030155904408
92276,8158.0,24482.0,982.0,12.037264035302771
92278,5001.0,21707.0,0.0,0.0
92282,1440.0,20955.0,331.0,22.98611111111111
92304,7.0,,5.0,71.42857142857143
92305,613.0,34617.0,155.0,25.28548123980424
92320,9022.0,28059.0,883.0,9.787186876524052
92338,0.0,-666666666.0,0.0,
92356,6199.0,18201.0,2212.0,35.68317470559768
92382,4816.0,27816.0,572.0,11.877076411960132
92384,18.0,117522.0,0.0,0.0
92411,26361.0,16210.0,7490.0,28.413186146200825
92530,56442.0,22902.0,7993.0,14.161440062364905
92583,32077.0,21220.0,6238.0,19.446955762696014
92585,23868.0,29854.0,2091.0,8.760683760683762
92595,34034.0,29514.0,3143.0,9.234882764294529
92602,21666.0,49689.0,2364.0,10.911104957075603
92661,3825.0,116315.0,343.0,8.967320261437909
92672,34659.0,57131.0,2228.0,6.428344730084538
92673,30634.0,61097.0,1109.0,3.620160605862767
92823,4996.0,51662.0,181.0,3.622898318654924
92835,26115.0,51666.0,1831.0,7.011296189929159
92840,54315.0,27095.0,5661.0,10.422535211267606
92881,32694.0,41447.0,1938.0,5.927693154707286
92310,9573.0,22832.0,893.0,9.328319231171001
92314,10684.0,28540.0,1769.0,16.557469112691876
92321,907.0,26692.0,147.0,16.207276736493935
92054,40709.0,35441.0,4441.0,10.909135571986539
92056,53124.0,38283.0,3678.0,6.923424440930653
92114,69858.0,25560.0,8291.0,11.868361533396317
92115,63755.0,27796.0,14805.0,23.221708101325387
92120,29764.0,50755.0,2633.0,8.846257223491467
92122,47842.0,44231.0,10965.0,22.919192341457297
92154,89886.0,23170.0,9569.0,10.64570678414881
92220,33360.0,25196.0,6306.0,18.902877697841728
92233,7520.0,6954.0,1101.0,14.64095744680851
92274,14105.0,14855.0,4483.0,31.783055654023396
92308,42375.0,24104.0,7498.0,17.694395280235987
94063,36110.0,40207.0,4278.0,11.847133757961783
94535,3407.0,22503.0,198.0,5.811564426181391
94561,43031.0,34247.0,3135.0,7.285445376588971
94567,869.0,31970.0,183.0,21.058688147295744
94585,29351.0,30809.0,2960.0,10.084835269667133
94588,36324.0,68053.0,1876.0,5.164629446096245
94592,1038.0,55072.0,214.0,20.616570327552985
94607,25723.0,45622.0,5629.0,21.8831396026902
94611,39042.0,85733.0,2033.0,5.2072127452487065
94709,12411.0,46359.0,2245.0,18.088792200467328
94805,14292.0,46117.0,796.0,5.569549398264764
91786,54165.0,28871.0,7352.0,13.573340718175944
91789,43531.0,40503.0,2657.0,6.103696216489398
91791,33314.0,34630.0,2901.0,8.708050669388244
