"Geographic Area Name (NAME)","Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)","Internal Point (Latitude) (INTPTLAT)","Internal Point (Longitude) (INTPTLON)"
"ZCTA5 90743","301,422","1,254,135","0.116","0.484","33.7295303","−118.0924360"
"ZCTA5 90744","23,018,850","2,752,171","8.888","1.063","33.7772144","−118.2596038"
"ZCTA5 90745","21,304,966","241,841","8.226","0.093","33.8202678","−118.2641249"
"ZCTA5 90746","14,982,262","137,288","5.785","0.053","33.8592309","−118.2523119"
"ZCTA5 90747","55,484","0","0.021","0.000","33.8637854","−118.2513536"
"ZCTA5 90755","5,627,499","4,445","2.173","0.002","33.8031665","−118.1671318"
"ZCTA5 90802","16,836,869","19,351,763","6.501","7.472","33.7512788","−118.2068203"
"ZCTA5 90803","10,517,481","11,946,690","4.061","4.613","33.7541911","−118.1323626"
"ZCTA5 90804","5,591,682","2,503","2.159","0.001","33.7816856","−118.1483650"
"ZCTA5 90805","19,216,007","426,897","7.419","0.165","33.8646171","−118.1805667"
"ZCTA5 90806","12,656,291","218,584","4.887","0.084","33.8088695","−118.1784855"
"ZCTA5 90807","11,449,952","37,428","4.421","0.014","33.8302054","−118.1811814"
"ZCTA5 90808","17,787,461","259,197","6.868","0.100","33.8239432","−118.1113355"
"ZCTA5 90810","16,936,922","575,190","6.539","0.222","33.8198411","−118.2223784"
"ZCTA5 90813","7,975,878","242,361","3.080","0.094","33.7822587","−118.1967927"
"ZCTA5 90814","3,451,793","0","1.333","0.000","33.7715806","−118.1433606"
"ZCTA5 90815","18,269,698","512,747","7.054","0.198","33.7950672","−118.1157237"
"ZCTA5 90822","420,822","0","0.162","0.000","33.7784357","−118.1186480"
"ZCTA5 90831","58,414","0","0.023","0.000","33.7683078","−118.2007622"
"ZCTA5 90840","109,705","0","0.042","0.000","33.7845657","−118.1213125"
"ZCTA5 91001","21,393,345","91,219","8.260","0.035","34.1944893","−118.1382630"
"ZCTA5 91006","16,652,749","488,299","6.430","0.189","34.1351590","−118.0266852"
