ZIP Code,Population Under 18 years,Total Population,Percent Population Under 18 years,Female Population Under 18 years,Male Population Under 18 years
92618,14473,59386,24.4,6225,8248
92620,16595,61110,27.2,7989,8606
92624,1254,6881,18.2,813,441
92625,2250,12546,17.9,1231,1019
92626,8713,50198,17.4,4446,4267
92627,12731,62181,20.5,6388,6343
92629,4644,26144,17.8,1838,2806
92630,13406,66240,20.2,6149,7257
92637,51,17452,0.3,16,35
92646,10328,56033,18.4,4883,5445
92647,11319,60114,18.8,5619,5700
92648,8099,45667,17.7,3729,4370
92649,5519,35206,15.7,2488,3031
92651,3658,23981,15.3,1785,1873
92653,5766,29923,19.3,2712,3054
92655,1718,8040,21.4,775,943
92656,12893,53143,24.3,6648,6245
92657,2182,9169,23.8,1101,1081
92660,7149,35926,19.9,3457,3692
92661,351,3300,10.6,105,246
92662,184,2346,7.8,77,107
92663,2181,21886,10.0,881,1300
92672,6889,38020,18.1,3414,3475
92673,8487,30633,27.7,3496,4991
92675,8112,35099,23.1,4358,3754
92676,461,1952,23.6,287,174
92677,10919,64259,17.0,5032,5887
92678,95,630,15.1,45,50
92679,6635,30971,21.4,3462,3173
92683,19219,90630,21.2,10180,9039
92688,10750,44444,24.2,5185,5565
92691,9773,48073,20.3,4827,4946
92692,8830,45977,19.2,4451,4379
92694,11862,35074,33.8,5920,5942
92697,0,0,,0,0
92701,13624,49462,27.5,5922,7702
92703,14234,61593,23.1,6541,7693
92704,18619,80767,23.1,9443,9176
92705,11274,46854,24.1,5607,5667
92706,8416,36548,23.0,3938,4478
92707,13834,59712,23.2,7074,6760
92708,10939,56754,19.3,5080,5859
92780,13422,54945,24.4,6114,7308
92782,6769,29838,22.7,2827,3942
92801,14850,64022,23.2,7115,7735
92802,11510,44316,26.0,5202,6308
92804,18664,84700,22.0,9704,8960
92805,17636,73310,24.1,9469,8167
92806,9431,40945,23.0,4435,4996
92807,7287,36117,20.2,3522,3765
92808,4320,21080,20.5,2012,2308
92821,9078,41604,21.8,4742,4336
92823,1352,5495,24.6,765,587
92831,6638,36470,18.2,2766,3872
92832,6686,26040,25.7,3617,3069
92833,12433,52799,23.5,6047,6386
92835,6079,26687,22.8,3657,2422
92840,11540,53826,21.4,5798,5742
92841,7301,34188,21.4,3588,3713
92843,10572,47549,22.2,5220,5352
92844,4169,22622,18.4,2139,2030
92845,3086,15530,19.9,1271,1815
92860,4588,25367,18.1,2104,2484
92861,1228,5814,21.1,565,663
92865,4619,21140,21.8,2047,2572
92866,2649,14873,17.8,1088,1561
92867,9521,44216,21.5,4431,5090
92868,5040,27280,18.5,2582,2458
92869,7669,36429,21.1,3742,3927
92870,12575,53150,23.7,6223,6352
92879,11673,49111,23.8,5485,6188
92880,21465,74645,28.8,10307,11158
92881,7429,31401,23.7,3154,4275
92882,17363,69472,25.0,8744,8619
92883,9341,37211,25.1,4990,4351
92886,12023,50437,23.8,5902,6121
92887,4042,20353,19.9,1935,2107
93001,6034,31751,19.0,3376,2658
93003,11314,53283,21.2,5667,5647
93004,6234,31151,20.0,2915,3319
93010,10258,47656,21.5,4577,5681
93012,6459,36145,17.9,3069,3390
93013,3228,16459,19.6,1552,1676
93015,4682,18716,25.0,2611,2071
93021,8813,37980,23.2,4495,4318
93022,1271,6422,19.8,646,625
93023,3297,21279,15.5,1535,1762
93030,14918,58511,25.5,7027,7891
93033,24204,82517,29.3,12216,11988
93035,5264,26286,20.0,2612,2652
93036,11750,46959,25.0,5837,5913
93040,484,1838,26.3,286,198
93041,5704,23108,24.7,2934,2770
93042,0,107,0.0,0,0
93043,0,722,0.0,0,0
93060,9194,34337,26.8,4777,4417
93063,10848,57075,19.0,5430,5418
93064,0,0,,0,0
93065,15311,72086,21.2,7439,7872
93066,436,2805,15.5,202,234
93067,235,999,23.5,104,131
93101,5547,29870,18.6,2392,3155
93103,3447,19653,17.5,1861,1586
93105,4268,26482,16.1,1770,2498
93106,88,5369,1.6,45,43
93108,1473,11209,13.1,800,673
93109,1542,11626,13.3,830,712
93110,2899,16403,17.7,1282,1617
93111,3802,18165,20.9,1989,1813
93117,7380,53345,13.8,3454,3926
93201,478,1209,39.5,306,172
93202,1489,4308,34.6,614,875
93203,7485,20781,36.0,3718,3767
93204,3781,13423,28.2,1947,1834
93205,535,2320,23.1,165,370
93206,616,1709,36.0,306,310
93207,52,232,22.4,21,31
93208,0,127,0.0,0,0
93210,4596,18937,24.3,2517,2079
93212,5026,23391,21.5,2686,2340
93215,13257,53334,24.9,5511,7746
93218,309,796,38.8,186,123
93219,3093,9871,31.3,1542,1551
93220,0,0,,0,0
93221,3982,14423,27.6,1990,1992
93222,296,2036,14.5,63,233
93223,2994,10424,28.7,1533,1461
93224,152,501,30.3,85,67
93225,839,5018,16.7,357,482
93226,0,55,0.0,0,0
93227,44,227,19.4,0,44
93230,19377,68572,28.3,9622,9755
93234,2275,6571,34.6,1249,1026
93235,1346,4360,30.9,633,713
93237,2,98,2.0,1,1
93238,220,866,25.4,76,144
93239,331,1404,23.6,173,158
93240,1385,5470,25.3,596,789
93241,5384,15978,33.7,2560,2824
93242,858,2683,32.0,382,476
93243,126,977,12.9,56,70
93244,16,121,13.2,6,10
93245,10168,37439,27.2,4811,5357
93246,0,1129,0.0,0,0
93247,5518,17827,31.0,2619,2899
93249,749,1996,37.5,327,422
93250,5203,15126,34.4,2594,2609
93251,80,293,27.3,37,43
93252,424,1680,25.2,242,182
93254,192,869,22.1,133,59
93255,0,872,0.0,0,0
93256,1776,5575,31.9,766,1010
93257,23865,79217,30.1,11417,12448
93258,206,1086,19.0,113,93
93260,40,178,22.5,12,28
93261,591,1889,31.3,324,267
93262,0,18,0.0,0,0
93263,7631,22952,33.2,4137,3494
93265,622,3194,19.5,309,313
93266,549,1720,31.9,231,318
93267,1953,5811,33.6,726,1227
93268,4672,17124,27.3,2463,2209
93270,1629,5711,28.5,791,838
93271,402,2398,16.8,169,233
93272,1646,4548,36.2,767,879
93274,26090,78831,33.1,13084,13006
93276,41,150,27.3,11,30
93277,14121,54127,26.1,6499,7622
